mall_name,market_name,street_address,city,state,zip,latitude,longitude
Alton Square Mall,ALTON,200 Alton Square Mall Drive,Alton,IL,62002,38.92409791,-90.17470013
Asheboro Mall,ASHE,"1437 E Dixie Drive, Ste 345",Asheboro,NC,27203,35.70230846,-79.78690067
Auburn Mall,AUBURN,1627-53 Opelika Road,Auburn,AL,36830,32.62682722,-85.44749753
Blue Ridge Mall,BRN,1800 Four Seasons Blvd.,Hendersonville,NC,28792,35.33414204,-82.44532013
Carolina Mall ,CARO,1480 Concord Parkway North,Concord,NC,28025,35.44061821,-80.60356539
Greenwood Mall,CC,420 - 39A Highway 72 Bypass NW,Greenwood,SC,29649,34.21149801,-82.18184274
Charleston Town Center,CHARLES,3000 Charleston Town Center,Charleston,WV,25389,38.35397667,-81.63794689
Citrus Park Town Center Mall,CITRUS,8021 Citrus Park Town,Tampa,FL,33625,28.06898419,-82.5765509
Cleveland Mall,CM,2001-53 E. Dixon Blvd.,Shelby,NC,28152,35.2697335,-81.48262068
Dalton Mall,DALT,816 Walnut Square Blvd.,Dalton,GA,30721,34.75886622,-84.93339866
Danville Mall,DAN,325 Piedmont Drive,Danville,VA,24540,36.59384637,-79.42159587
Decatur Mall,DECATUR,"1801 Beltline Road SW, Ste. 2",Decatur,AL,35601-5594,34.57232676,-87.0175343
Eastgate Mall,EAST,4601Eastgate Blvd,Cincinnati,OH,45245,39.10330883,-84.27782254
Florence Mall,FM,301 Cox Creek Parkway,Florence,AL,35630,34.83730694,-87.63579301
Glenbrook Square Mall,GLEN,4201 Coldwater Road,Fort Wayne,IN,46805,41.11567339,-85.13866848
Lake City Mall,GM,"2469 W. US Highway 90, Ste. 190",Lake City,FL,32055,30.18103395,-82.67270578
Milledgeville Mall,HSM,"2400 North Columbia St., Suite 1",Milledgeville,GA,31061,33.10914535,-83.25758179
Kingston Mall,HUDSON,1300 Ulster Ave,Kingston,NY,12401,41.96680054,-73.98429256
Sumter Mall,JM,"1057 Broad St., Ste. 73",Sumter,SC,29150,33.9500149,-80.37258816
Fort Henry Mall,KING,2101 Fort Henry Dr.,Kingsport,TN,37664,36.52912173,-82.52000412
Leigh Mall,LEIGH,1404 Old Aberdeen Rd. Suite 41,Columbus,MS,39705,33.51171383,-88.43142716
The Mall at Whitney Field,LEO,100 Commercial Road,Leominster,MA,01453,42.52940381,-71.74206075
Macon Mall,MACON,"3661 Eisenhower Parkway, Ste. 1",Macon,GA,31206,32.81810461,-83.69376632
Reading Mall,MUHLTOWN,3050 N. 5th Street Hwy,Reading,PA,19605,40.38062311,-75.93052722
Muncie Mall,MUNCIE,"3501 N Granville Ave,",Muncie,IN,47303,40.22246071,-85.37582601
New Bern Mall,NBERN,"3134 Dr. M. L. King, Jr. Blvd.",New Bern,NC,28562,35.10422926,-77.08995176
Northlake Mall,NORTH,6801 Northlake Mall Dr,Charlotte,NC,28216,35.35276073,-80.85107252
Quintard Mall,OXFORD,700 Quintard Drive,Oxford,AL,36203,33.61360965,-85.82364602
Prince of Orange Mall,POO,"2390 Chestnut N. E., Box 0-4",Orangeburg,SC,29115,33.52303335,-80.88086466
Racine Mall,RACINE,5538 Durand Ave.,Racine,WI,53406,42.69957396,-87.84827154
Richmond Square Mall,RICH,"3801 National Road East, RM: 781",Richmond,IN,47374,39.82939652,-84.84469321
Mt. Berry Mall,ROME,2770 Martha Berry Hwy,Rome,GA,30165,34.30157204,-85.17138536
Statesboro Mall,SM,"325 Northside Drive, Suite 33",Statesboro,GA,30458,32.43610875,-81.7623499
Victoria Mall,VIC,"7800 N. Navarro, Ste. 215",Victoria,TX,77904,28.86784523,-96.99442318
LaGrange Mall,WGC,"1501 Lafayette Parkway, Ste. A-10",LaGrange,GA,30241,33.04428581,-84.98156756
Wilson,WIL,1501 Ward Blvd. Suite 207,Wilson,NC,27893,35.72443711,-77.93750733
